Percentage of Constraints,Percentage of False Positives
0.1,0.88
0.10666666666666667,0.985
0.11333333333333334,0.76
0.12000000000000001,0.615
0.12666666666666668,0.625
0.13333333333333333,0.26
0.14,0.3
0.14666666666666667,0.185
0.15333333333333332,0.42
0.16,0.05
0.16666666666666669,0.08
0.17333333333333334,0.005
0.18,0.065
0.18666666666666665,0.05
0.19333333333333333,0.0
0.2,0.0
0.20666666666666667,0.005
0.21333333333333332,0.075
0.21999999999999997,0.0
0.22666666666666666,0.015
0.23333333333333334,0.0
0.24,0.0
0.24666666666666665,0.0
0.2533333333333333,0.0
0.26,0.0
0.26666666666666666,0.0
0.2733333333333333,0.0
0.28,0.0
0.2866666666666666,0.0
0.29333333333333333,0.0
